RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FinishRound,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishDetails_present,FinishDetails_clean,BMatchWCRank_present,RMatchWCRank_present,BMatchWCRank_cat,RMatchWCRank_cat,BWFeatherweightRank_present,RWFeatherweightRank_present,BPFPRank_present,BWFlyweightRank_present,RWFlyweightRank_present,BWStrawweightRank_present,BWBantamweightRank_present,BWelterweightRank_present,BBantamweightRank_present,BLightHeavyweightRank_present,BLightweightRank_present,BFeatherweightRank_present,BFlyweightRank_present,BMiddleweightRank_present,RWStrawweightRank_present,BHeavyweightRank_present,RWBantamweightRank_present,RFeatherweightRank_present,RBantamweightRank_present,RMiddleweightRank_present,RLightHeavyweightRank_present,RLightweightRank_present,RHeavyweightRank_present,RFlyweightRank_present,RWelterweightRank_present,RPFPRank_present,blue_has_any_rank,red_has_any_rank,Winner,OddsRatio,RedExperience,BlueExperience,ExperienceDifference,RedWinPercentage,BlueWinPercentage,WinPercentageDifference,RedForm,BlueForm,FormDifference,RedStrikerScore,BlueStrikerScore,RedGrapplerScore,BlueGrapplerScore,StyleAdvantage,RedFinishRate,BlueFinishRate,FinishRateDifference,RedAgeFactor,BlueAgeFactor,AgeFactorDifference,RedBettingConfidence,BlueBettingConfidence,RedPerformanceScore,BluePerformanceScore,PerformanceScoreDiff,RedImpliedProbability,BlueImpliedProbability
-315.0,260.0,31.746,260.0,2022-12-10,False,Middleweight,MALE,3,3,0,0,3.07,0.45,0.0,2.14,0.45,1,4,15,0,0,0,1,1,0,0,2,Orthodox,172.72,193.04,185,3,0,0,3.77,0.5,0.5,2.01,0.38,5,3,15,0,0,1,0,3,1,0,5,Orthodox,190.5,190.5,185,25,35,0,0,-4,-3,1,0,0,-2,-1,-17.78,2.54,10,-0.7,-0.5,0.13,neither,KO/TKO,2.0,581.0,275.0,650.0,650.0,2000.0,100.0,550.0,1,Punches,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.2115384615384615,8,6,2,0.6249999999921875,0.33333333332777776,0.2916666666644097,-3,-3,0,1.885,1.3815,1.2637999999999998,0.9630000000000001,0.20270000000000032,0.8,0.5,0.30000000000000004,0.6666666666666667,0.6666666666666667,0.0,346.746,0.0,0.22916666666380212,0.12222222222018521,0.1069444444436169,-0.0031746031746031746,0.0038461538461538464
-142.0,132.0,70.4225,132.0,2011-12-10,False,Lightweight,MALE,3,1,0,0,43.7143,0.509,1.8571,3.5714,0.363,4,2,20,0,0,1,3,0,1,0,5,Orthodox,172.72,172.72,155,1,0,0,15.3333,0.373,1.3333,2.5556,0.567,3,4,19,0,0,0,1,0,4,0,5,Orthodox,172.72,190.5,155,30,27,0,0,1,0,2,1,0,0,-3,0.0,-17.78,3,28.381,0.5238,1.0159,neither,U-DEC,3.0,900.0,250.0,350.0,750.0,1000.0,420.0,525.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.0757575757575757,9,7,2,0.5555555555493827,0.7142857142755102,-0.1587301587261275,-1,-1,0,5.7193209,22.250578700000002,2.7823252,3.1535181999999997,-16.1600648,0.8,0.2,0.6000000000000001,1.0,0.8,0.19999999999999996,212.4225,0.0,0.4722222222169753,0.485714285707347,-0.013492063490371686,-0.007042253521126761,0.007575757575757576
-198.0,164.0,50.5051,164.0,2023-09-09,False,Heavyweight,MALE,3,0,1,0,3.43,0.46,0.0,1.03,0.2,1,1,3,0,0,0,0,1,0,0,1,Orthodox,198.12,203.2,245,0,2,0,4.09,0.54,0.0,0.0,0.0,2,3,11,0,0,0,0,3,0,0,3,Southpaw,182.88,187.96,264,29,35,0,-1,-1,-2,-2,-8,0,-2,0,15.24,15.24,6,-0.66,0.0,1.03,neither,KO/TKO,1.0,82.0,900.0,1200.0,1800.0,1200.0,-150.0,225.0,1,Punch,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.2073170731707317,6,2,4,0.49999999999166667,0.499999999975,1.666666804567285e-11,2,1,1,2.2086,1.5778,0.0,0.20600000000000002,0.8368,1.0,1.0,0.0,0.9333333333333333,0.6666666666666667,0.2666666666666666,248.5051,0.0,0.5599999999906666,0.3666666666483334,0.1933333333423332,-0.005050505050505051,0.006097560975609756
-525.0,415.0,19.0476,415.0,2019-01-19,False,Bantamweight,MALE,3,0,0,0,9.28,0.49,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,182.88,135,0,2,0,73.0,0.56,0.0,0.5,0.5,2,0,4,0,0,0,0,2,0,0,2,Switch,180.34,177.8,135,26,25,0,-2,-2,-2,0,-4,0,-2,0,-5.08,5.08,1,-73.0,0.0,-0.5,neither,SUB,1.0,211.0,250.0,725.0,650.0,1050.0,-111.0,1645.0,1,Armbar,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.2650602409638554,2,0,2,0.99999999995,0.0,0.99999999995,2,0,2,40.88,4.547199999999999,0.25,0.63,36.7128,1.0,0.0,1.0,0.7333333333333334,0.6666666666666667,0.06666666666666665,544.0476,0.0,0.8799999999560001,0.0,0.8799999999560001,-0.0019047619047619048,0.0024096385542168677
-160.0,140.0,62.5,140.0,2018-12-08,False,Bantamweight,MALE,3,2,0,0,28.6,0.536,1.0,2.2,0.7,2,3,12,0,0,0,1,1,0,0,2,Southpaw,170.18,175.26,135,0,1,0,71.0,0.63,0.0,2.0,0.28,1,0,3,1,0,0,1,0,0,0,1,Orthodox,167.64,162.56,135,26,31,-2,-1,1,1,-3,9,-1,1,0,2.54,12.7,-5,-42.4,1.0,0.2,neither,U-DEC,3.0,900.0,181.0,230.0,400.0,825.0,506.0,1250.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.1428571428571428,1,5,-4,0.9999999999,0.399999999992,0.599999999908,1,-2,3,44.73,15.329600000000001,0.56,2.54,31.380399999999995,0.0,0.5,-0.5,0.7333333333333334,0.9333333333333333,-0.19999999999999996,222.5,0.0,0.8066666665860002,0.26133333332810665,0.5453333332578936,-0.00625,0.007142857142857143
-205.0,175.0,48.7805,175.0,2022-07-30,False,Welterweight,MALE,3,1,0,0,3.12,0.55,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Switch,180.34,193.04,170,1,0,0,2.77,0.53,0.0,1.92,0.4,1,1,5,0,0,0,0,1,0,0,1,Switch,180.34,180.34,170,28,34,0,0,-1,-1,0,-4,0,-1,0,0.0,12.7,6,0.35,0.0,-1.92,neither,U-DEC,3.0,900.0,420.0,450.0,420.0,2800.0,195.0,330.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.1714285714285715,2,1,1,0.499999999975,0.0,0.499999999975,-1,-1,0,1.4681000000000002,1.7160000000000002,0.768,0.0,-1.0159,1.0,0.0,1.0,0.8666666666666667,0.7333333333333334,0.1333333333333333,253.78050000000002,0.0,0.3683333333149167,0.0,0.3683333333149167,-0.004878048780487805,0.005714285714285714
-600.0,450.0,16.6667,450.0,2019-09-28,False,Lightweight,MALE,3,1,0,0,1.52,0.61,0.0,3.5,1.0,0,1,2,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,155,0,0,0,18.33,0.75,0.0,12.5,0.5,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,155,35,25,-1,0,0,0,-1,2,0,0,0,10.16,5.08,10,-16.81,0.0,-9.0,neither,KO/TKO,1.0,72.0,160.0,900.0,260.0,2200.0,250.0,1600.0,1,Punches,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.3333333333333333,0,1,-1,0.0,0.0,0.0,0,-1,1,13.747499999999999,0.9272,6.25,3.5,10.0703,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,616.6667,0.0,0.0,0.0,0.0,-0.0016666666666666668,0.0022222222222222222
-570.0,480.0,17.5439,480.0,2014-08-16,False,Women's Bantamweight,FEMALE,3,0,0,0,9.28,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,125,1,0,0,10.5,0.765,0.0,1.0,0.5,1,1,2,1,0,0,0,1,0,0,1,Orthodox,167.64,167.64,135,33,31,1,0,-1,-1,1,-2,-1,-1,0,2.54,2.54,2,-10.5,0.0,-1.0,Red,S-DEC,3.0,900.0,-155.0,855.0,562.0,2040.0,475.0,900.0,0,Not Recorded,0,1,Unranked,Top 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Red,-1.1875,2,0,2,0.499999999975,0.0,0.499999999975,-1,0,-1,8.0325,4.2688,0.5,0.63,3.893700000000001,1.0,0.0,1.0,0.8,0.9333333333333333,-0.1333333333333333,587.5439,0.0,0.339999999983,0.0,0.339999999983,-0.0017543859649122807,0.0020833333333333333
-320.0,290.0,31.25,290.0,2013-11-09,False,Light Heavyweight,MALE,3,3,0,0,22.5,0.477,0.2,0.7,0.241,3,6,23,0,0,0,1,2,1,0,4,Orthodox,182.88,193.04,205,1,0,0,24.0,0.39,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,205,33,34,-2,0,3,4,-5,22,0,2,1,-2.54,7.62,-1,-1.5,0.2,0.7,neither,U-DEC,3.0,900.0,250.0,450.0,750.0,1500.0,420.0,550.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.103448275862069,1,10,-9,0.0,0.399999999996,-0.399999999996,-1,-3,2,9.36,10.7325,0.0,0.3687,-1.0038,0.0,0.75,-0.75,0.8,0.7333333333333334,0.06666666666666665,351.25,0.0,0.0,0.16133333333172,-0.16133333333172,-0.003125,0.0034482758620689655
-155.0,135.0,64.5161,135.0,2016-07-07,False,Bantamweight,MALE,3,0,1,0,6.0,0.613,1.0,1.0,0.123,1,2,5,0,0,0,1,0,0,0,1,Orthodox,172.72,182.88,135,0,1,0,31.75,0.54,0.5,1.125,0.316,1,4,20,0,0,0,2,1,1,0,4,Orthodox,172.72,185.42,135,28,36,0,0,0,-3,2,-15,0,-1,-1,0.0,-2.54,-8,-25.75,0.5,-0.125,neither,SUB,2.0,399.0,261.0,200.0,400.0,1085.0,315.0,1075.0,1,Armbar,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.1481481481481481,8,3,5,0.49999999999375,0.3333333333222222,0.1666666666715278,1,1,0,17.145,3.678,0.8554999999999999,1.123,13.7345,0.5,0.0,0.5,0.8666666666666667,0.6,0.2666666666666667,219.5161,0.0,0.4766666666607084,0.21999999999266667,0.2566666666680417,-0.0064516129032258064,0.007407407407407408
-255.0,215.0,39.2157,215.0,2018-03-03,False,Light Heavyweight,MALE,3,1,0,0,29.5,0.75,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,0,2,0,40.5,0.44,1.0,3.0,0.565,2,0,6,0,0,0,2,0,0,0,2,Orthodox,187.96,200.66,205,29,30,-1,-2,-1,-1,-1,-2,0,1,0,2.54,-7.62,-1,-11.0,-1.0,-3.0,neither,S-DEC,3.0,900.0,130.0,775.0,537.0,1100.0,325.0,400.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red,-1.186046511627907,2,2,0,0.99999999995,0.499999999975,0.499999999975,2,-1,3,17.82,22.125,2.695,0.0,-7.0,0.0,1.0,-1.0,0.9333333333333333,1.0,-0.06666666666666665,294.21569999999997,0.0,1.119999999944,0.42499999997875,0.6949999999652501,-0.00392156862745098,0.004651162790697674
